"","playerID","yearID","stint","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"59","wanerll01",1939,1,"PIT","NL",112,379,49,108,15,3,0,24,0,NA,17,13,NA,3,11,NA,5
"60","jordami01",1890,1,"PIT","NL",37,125,8,12,1,0,0,6,5,NA,15,19,NA,3,NA,NA,NA
"61","corbesh01",1989,1,"CAL","AL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","pickrcl01",1934,1,"BSN","NL",10,2,0,0,0,0,0,0,0,NA,0,2,NA,0,0,NA,0
"63","thomaan01",1986,1,"ATL","NL",102,323,26,81,17,2,6,32,4,6,8,49,2,0,2,2,14
"64","ontivst02",1987,1,"OAK","AL",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","perezed01",2004,1,"TBA","AL",13,38,2,8,2,0,1,7,0,0,4,9,0,0,0,0,1
"66","eversjo01",1902,1,"CHN","NL",26,90,7,20,0,0,0,2,1,NA,3,NA,NA,2,3,NA,NA
"67","cecilre01",1945,1,"BOS","AL",7,20,0,6,0,0,0,2,0,0,0,5,NA,0,0,NA,0
"68","keelewi01",1906,1,"NYA","AL",152,592,96,180,8,3,2,33,23,NA,40,NA,NA,5,35,NA,NA
"69","bostoda01",1989,1,"CHA","AL",101,218,34,55,3,4,5,23,7,2,24,31,3,0,4,1,1
"70","baneed01",1976,1,"MIN","AL",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","tackeje01",1991,1,"BAL","AL",6,8,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0
"72","schulfr02",1936,1,"PIT","NL",74,238,28,62,7,3,1,17,1,NA,20,20,NA,1,0,NA,4
"73","seaveto01",1969,1,"NYN","NL",39,91,7,11,3,0,0,6,1,0,7,34,0,2,4,0,0
"74","evelada01",2010,2,"PIT","NL",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","skinnbo01",1956,1,"PIT","NL",113,233,29,47,8,3,5,29,1,1,26,50,1,1,0,2,6
"76","hastybo01",1922,1,"PHA","AL",28,75,3,15,1,0,1,9,0,0,1,19,NA,0,0,NA,NA
"77","hubbeca01",1931,1,"NY1","NL",36,83,9,20,6,0,0,8,0,NA,3,9,NA,1,6,NA,NA
"78","grevebi01",1919,1,"PHA","AL",5,5,0,0,0,0,0,0,0,NA,0,4,NA,0,0,NA,NA
"79","alouma01",1973,1,"NYA","AL",123,497,59,147,22,1,2,28,5,2,30,43,0,3,6,2,18
"80","dejesiv02",2011,1,"LAN","NL",17,32,2,6,0,0,0,1,0,0,2,11,0,0,1,0,1
"81","hernajo01",1991,1,"TEX","AL",45,98,8,18,2,1,0,4,0,1,3,31,0,0,6,0,2
"82","bailebo01",1971,1,"MON","NL",157,545,65,137,21,4,14,83,13,7,97,105,8,0,3,9,19
"83","carpeda01",2014,1,"ATL","NL",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","powelja01",1897,1,"CL4","NL",28,97,10,20,1,0,0,12,0,NA,6,NA,NA,1,4,NA,NA
"85","gleaski01",1891,1,"PHI","NL",65,214,31,53,5,2,0,17,6,NA,20,17,NA,2,NA,NA,NA
"86","carrach01",1950,1,"CHA","AL",141,524,72,148,21,5,4,46,0,2,66,46,NA,5,8,NA,16
"87","goedder01",2015,1,"NYN","NL",35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","warneja02",1965,1,"CHN","NL",11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"89","kimbeha01",1936,1,"SLA","AL",13,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA
"90","maybejo01",1982,1,"TOR","AL",17,33,7,9,0,0,2,3,0,0,7,5,1,1,0,1,0
"91","perezed01",1996,1,"CIN","NL",18,36,8,8,0,0,3,5,0,0,5,9,1,0,0,0,2
"92","gibsobo01",1973,1,"SLN","NL",25,65,8,12,0,0,2,8,1,1,3,17,0,0,2,1,1
"93","garbege01",1977,1,"PHI","NL",64,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"94","connoro01",1882,1,"TRN","NL",81,349,65,115,22,18,4,42,NA,NA,13,20,NA,NA,NA,NA,NA
"95","santovi01",2002,1,"COL","NL",24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","myricbo01",1977,1,"NYN","NL",44,11,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0
"97","eicheju01",1980,1,"SDN","NL",15,27,1,3,0,0,0,0,1,0,2,18,0,0,4,0,0
"98","liebemi01",2005,1,"PHI","NL",118,392,48,103,25,0,12,47,0,0,35,35,14,11,0,5,6
"99","olivato01",1969,1,"MIN","AL",153,637,97,197,39,4,24,101,10,13,45,66,12,3,2,5,10
"100","diazma01",1991,1,"TEX","AL",96,182,24,48,7,0,1,22,0,1,15,18,0,0,4,1,5
"101","foileha01",1961,1,"BAL","AL",43,124,18,34,6,0,6,19,0,2,12,27,1,0,1,1,4
"102","fairlro01",1967,1,"LAN","NL",153,486,45,107,19,0,10,55,1,4,54,51,9,1,5,8,13
"103","johnske05",2013,1,"TBA","AL",118,366,41,86,12,2,16,52,7,4,35,99,1,3,0,3,4
"104","hoffmtr01",2007,1,"SDN","NL",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","sulliha02",1961,1,"KC1","AL",117,331,42,80,16,2,6,40,1,0,46,45,0,0,1,1,9
"106","smithto03",1910,1,"BRO","NL",106,321,31,58,10,1,1,16,9,NA,69,53,NA,2,22,NA,NA
"107","smithha09",1958,1,"SLN","NL",77,220,13,50,4,1,1,24,0,0,14,14,4,0,3,1,6
"108","halldi01",1954,1,"PIT","NL",112,310,38,74,8,4,2,27,3,0,33,46,NA,0,1,9,14
"109","crookja01",1898,1,"SLN","NL",72,225,33,52,4,2,1,20,3,NA,40,NA,NA,5,11,NA,NA
"110","armstmi01",1986,1,"NYA","AL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","bootcch01",2009,1,"PIT","NL",13,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"112","gondeje01",1963,1,"CIN","NL",31,32,5,10,2,0,3,5,0,0,1,12,0,0,0,0,0
"113","montejo01",1980,1,"SFN","NL",22,30,1,1,0,0,0,0,0,0,1,12,0,1,3,0,0
"114","woodbo01",1905,1,"DET","AL",8,24,1,2,1,0,0,0,0,NA,1,NA,NA,0,0,NA,NA
"115","thomade01",1984,1,"MON","NL",108,243,26,62,12,2,0,20,0,4,20,33,1,0,3,3,7
"116","francjo01",2003,1,"NYN","NL",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","cookcl01",1960,1,"CIN","NL",54,149,9,31,7,0,3,13,0,0,8,51,1,0,3,1,1
"118","thurssl01",1932,1,"BRO","NL",29,56,7,17,5,1,0,5,0,NA,2,9,NA,0,2,NA,NA
"119","leibeha01",1934,1,"NY1","NL",63,187,17,45,5,3,2,25,1,NA,4,13,NA,0,4,NA,4
"120","mcgwima01",1994,1,"OAK","AL",47,135,26,34,3,0,9,25,0,0,37,40,3,0,0,0,3
"121","arnolch01",1974,1,"SFN","NL",78,174,22,42,7,3,1,26,1,1,15,27,1,1,0,2,1
"122","cobbty01",1921,1,"DET","AL",128,507,124,197,37,16,12,101,22,15,56,19,NA,3,15,NA,NA
"123","obrieto03",1944,1,"PIT","NL",85,156,27,39,6,2,3,20,1,NA,21,12,NA,1,0,NA,7
"124","saltaja01",2014,1,"MIA","NL",114,373,43,82,20,0,11,44,0,1,55,143,4,2,0,5,11
"125","lohrmbi01",1943,2,"BRO","NL",6,7,1,1,1,0,0,1,0,NA,1,2,NA,0,0,NA,0
"126","zannido01",1959,1,"SFN","NL",9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"127","suttoez01",1884,1,"BSN","NL",110,468,102,162,28,7,3,61,NA,NA,29,22,NA,NA,NA,NA,NA
"128","rodriiv01",2010,1,"WAS","NL",111,398,32,106,18,1,4,49,2,3,16,66,2,1,2,4,25
"129","browndi01",1965,1,"BAL","AL",96,255,17,59,9,1,5,30,2,2,17,53,8,1,3,4,8
"130","bakerne01",1927,1,"PHA","AL",5,6,0,1,0,0,0,2,0,0,0,2,NA,0,0,NA,NA
"131","pierzaj01",2003,1,"MIN","AL",137,487,63,152,35,3,11,74,3,1,24,55,12,15,2,5,13
"132","tysonmi01",1973,1,"SLN","NL",144,469,48,114,15,4,1,33,2,5,23,66,10,2,7,5,9
"133","cairomi01",2008,1,"SEA","AL",108,221,34,55,14,2,0,23,5,2,18,32,0,4,6,1,6
"134","abernte02",1955,1,"WS1","AL",40,26,1,4,0,0,0,0,0,0,0,6,0,0,4,0,1
"135","stairma01",2006,1,"KCA","AL",77,226,31,59,14,0,8,32,0,0,31,52,2,2,0,2,5
"136","blassst01",1971,1,"PIT","NL",34,83,5,10,0,1,0,2,0,0,1,15,0,0,8,0,0
"137","gerhajo01",1881,1,"DTN","NL",80,297,35,72,13,6,0,36,NA,NA,7,31,NA,NA,NA,NA,NA
"138","bowency01",1896,1,"NY1","NL",2,3,1,1,0,0,0,1,0,NA,1,2,NA,0,2,NA,NA
"139","oberkke01",1988,2,"PIT","NL",20,54,7,12,2,0,0,2,0,0,5,6,1,0,1,0,2
"140","ruelmu01",1919,1,"NYA","AL",79,233,18,56,6,0,0,31,4,NA,34,26,NA,1,5,NA,NA
"141","lombaer01",1940,1,"CIN","NL",109,376,50,120,22,0,14,74,0,NA,31,14,NA,7,0,NA,18
"142","gillepe01",1883,1,"NY1","NL",98,411,64,129,23,12,1,62,NA,NA,9,27,NA,NA,NA,NA,NA
"143","stonede01",1957,1,"WS1","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","staffge01",1898,1,"LS3","NL",49,181,26,54,3,0,1,25,7,NA,19,NA,NA,1,6,NA,NA
"145","kellych01",1886,1,"PH4","AA",1,3,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA
"146","nagelru01",1968,1,"CLE","AL",5,3,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0
"147","lindsma01",2012,2,"ARI","NL",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","henrybu01",1995,1,"MON","NL",21,42,1,2,0,0,0,1,0,0,0,11,0,0,5,0,0
"149","peterjo01",1878,1,"ML2","NL",55,246,33,76,6,1,0,22,NA,NA,5,8,NA,NA,NA,NA,NA
"150","hornsro01",1931,1,"CHN","NL",100,357,64,118,37,1,16,90,1,NA,56,23,NA,0,5,NA,NA
"151","ordonre01",2000,1,"NYN","NL",45,133,10,25,5,0,0,9,0,0,17,16,2,0,4,1,4
"152","hendeda01",1986,1,"SEA","AL",103,337,51,93,19,4,14,44,1,3,37,95,4,2,1,1,5
"153","uptonbj01",2014,1,"ATL","NL",141,519,67,108,19,5,12,35,20,7,57,173,5,1,3,2,6
"154","whiteje01",1986,1,"SLN","NL",25,24,1,3,0,0,1,3,0,0,2,3,0,0,1,2,1
"155","lisjo01",1971,1,"PHI","NL",59,123,16,26,6,0,6,10,0,1,16,43,0,2,1,2,1
"156","mckecbi01",1911,1,"PIT","NL",104,321,40,73,8,7,2,37,9,NA,28,18,NA,2,25,NA,NA
"157","stantmi01",1985,2,"CHA","AL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","powelra01",1920,1,"BSN","NL",147,609,69,137,12,12,6,29,10,18,44,83,NA,4,9,NA,NA
"159","janseke01",2012,1,"LAN","NL",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","polloaj01",2016,1,"ARI","NL",12,41,9,10,0,0,2,4,4,0,5,8,0,0,0,0,1
"161","carrch01",1906,1,"CIN","NL",22,94,9,18,2,3,0,10,0,NA,2,NA,NA,1,1,NA,NA
"162","brennto01",1981,1,"CLE","AL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","chrisma01",1939,1,"DET","AL",6,16,0,4,2,0,0,0,0,0,0,2,NA,0,0,NA,2
"164","lehmake01",1957,1,"BRO","NL",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","gardnar01",1975,1,"HOU","NL",13,31,3,6,0,0,0,2,1,0,1,8,1,1,0,0,2
"166","oliveal01",1974,1,"PIT","NL",147,617,96,198,38,12,11,85,10,1,33,58,1,5,1,5,20
"167","wilkiri01",1995,1,"CHN","NL",50,162,24,31,2,0,6,14,0,0,36,51,1,1,0,1,8
"168","sheetla01",1987,1,"BAL","AL",135,469,74,148,23,0,31,94,1,1,31,67,1,3,0,5,16
"169","sierrmo01",2012,1,"TOR","AL",49,147,14,33,4,0,6,15,1,0,8,44,0,2,0,0,3
"170","hernafe02",2015,1,"SEA","AL",31,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"171","radinsc01",1990,1,"CHA","AL",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","arrigge01",1965,1,"CIN","NL",28,12,1,2,0,0,1,4,0,0,0,3,0,0,0,0,1
"173","flaskro01",1927,1,"CHA","AL",26,95,12,21,5,0,0,6,0,0,3,8,NA,2,3,NA,NA
"174","kneppbo01",1982,1,"HOU","NL",33,52,2,3,1,0,0,0,0,0,4,25,0,0,6,0,0
"175","schrobi01",1988,1,"ML4","AL",41,122,9,19,2,0,5,10,0,0,6,36,0,2,1,0,6
"176","hubbebi01",1923,1,"PHI","NL",23,17,1,4,1,0,0,4,0,0,1,1,NA,0,2,NA,NA
"177","mcveyca01",1876,1,"CHN","NL",63,308,62,107,15,0,1,53,NA,NA,2,4,NA,NA,NA,NA,NA
"178","hrbekke01",1989,1,"MIN","AL",109,375,59,102,17,0,25,84,3,0,53,35,4,1,1,4,6
"179","walketo04",2001,1,"COL","NL",85,290,52,86,18,2,12,43,1,3,25,40,1,0,3,3,8
"180","bellda01",2006,1,"PHI","NL",92,324,39,90,17,2,6,34,1,0,32,38,2,3,3,3,11
"181","adcocjo01",1957,1,"ML1","NL",65,209,31,60,13,2,12,38,0,0,20,51,3,1,0,1,7
"182","hamilto01",1952,1,"PHA","AL",9,10,1,2,1,0,0,1,0,0,1,1,NA,0,0,NA,0
"183","harrile01",1998,2,"NYN","NL",75,168,18,39,7,0,6,17,5,2,9,12,1,1,4,2,5
"184","davisro02",1985,1,"MIN","AL",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","rodrian01",2012,1,"HOU","NL",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","mierked01",1950,1,"SLN","NL",1,1,0,0,0,0,0,0,0,NA,0,1,NA,0,0,NA,0
"187","gulledo01",1972,1,"CIN","NL",31,38,7,8,1,0,0,3,0,0,2,14,0,0,5,0,0
"188","titusjo01",1910,1,"PHI","NL",143,535,91,129,26,5,3,35,20,NA,93,44,NA,4,15,NA,NA
"189","myerswi01",2014,1,"TBA","AL",87,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10
"190","doranbi02",1990,2,"CIN","NL",17,59,10,22,8,0,1,5,5,0,8,5,1,0,0,0,1
"191","puckeki01",1988,1,"MIN","AL",158,657,109,234,42,5,24,121,6,7,23,83,4,2,0,9,17
"192","trachst01",1993,1,"CHN","NL",3,6,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0
"193","hallmbi01",1888,1,"PHI","NL",18,63,5,13,4,1,0,6,1,NA,1,12,NA,0,NA,NA,NA
"194","greento02",2001,1,"NYA","AL",35,96,9,20,4,0,1,11,0,0,3,21,0,1,0,0,3
"195","wagneho01",1901,1,"PIT","NL",140,549,101,194,37,11,6,126,49,NA,53,NA,NA,7,10,NA,NA
"196","fordle01",2004,1,"MIN","AL",154,569,89,170,31,4,15,72,20,2,67,75,3,13,2,7,15
"197","camparo01",1952,1,"BRO","NL",128,468,73,126,18,1,22,97,8,4,57,59,NA,3,5,NA,22
"198","knighlo01",1876,1,"PHN","NL",55,240,32,60,9,3,0,24,NA,NA,2,2,NA,NA,NA,NA,NA
"199","joneswi01",1949,1,"PHI","NL",149,532,71,130,35,1,19,77,3,NA,65,66,NA,1,6,NA,20
"200","camniho01",1912,1,"PIT","NL",41,98,7,23,1,0,0,7,1,NA,3,22,NA,0,8,NA,NA
"201","mangupe01",1976,2,"NYN","NL",41,102,15,19,5,2,1,9,7,3,10,32,0,0,3,0,0
"202","piercgr01",1882,1,"LS2","AA",9,33,3,10,1,0,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA
"203","blackni01",2011,1,"MIN","AL",26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","melenjo01",1991,1,"SDN","NL",31,20,1,2,1,0,0,0,0,0,1,14,0,0,0,0,0
"205","harkijo01",1884,1,"CL2","NL",61,229,24,47,4,2,0,20,NA,NA,7,45,NA,NA,NA,NA,NA
"206","heberwa01",1931,1,"SLA","AL",23,43,2,9,0,0,0,1,0,0,0,11,NA,0,1,NA,NA
"207","rawlijo01",1914,1,"CIN","NL",33,60,9,13,1,0,0,8,1,NA,6,8,NA,0,4,NA,NA
"208","melusmi01",1999,1,"HOU","NL",10,33,4,7,1,0,1,3,1,0,5,6,1,0,0,0,1
"209","broutda01",1895,2,"LS3","NL",24,97,13,30,10,1,2,15,1,NA,11,2,NA,0,0,NA,NA
"210","husonje01",1993,1,"TEX","AL",23,45,3,6,1,1,0,2,0,0,0,10,0,0,1,0,0
"211","millejo03",1967,1,"BAL","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"212","leibrch01",1990,1,"ATL","NL",24,50,2,9,0,0,0,3,0,0,3,11,0,0,5,0,0
"213","gladmbu01",1883,1,"PHI","NL",1,4,1,0,0,0,0,0,NA,NA,0,2,NA,NA,NA,NA,NA
"214","jossad01",1906,1,"CLE","AL",36,100,4,21,2,0,0,6,3,NA,7,NA,NA,1,10,NA,NA
"215","rondehe01",1913,1,"DET","AL",35,70,5,13,2,0,0,5,1,NA,14,16,NA,0,2,NA,NA
"216","harribr01",2006,2,"CIN","NL",8,10,2,2,0,0,1,1,0,0,1,4,0,0,0,0,1
"217","quantpa01",1997,1,"TOR","AL",77,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"218","blakeed01",1951,1,"CIN","NL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","tuttlbi01",1960,1,"KC1","AL",151,559,75,143,21,3,8,40,1,5,66,52,2,2,7,1,19
"220","colliji01",1900,1,"BSN","NL",142,586,104,178,25,5,6,95,23,NA,34,NA,NA,10,9,NA,NA
"221","johnsha01",1929,1,"NYA","AL",13,14,2,1,1,0,0,3,0,0,0,4,NA,0,2,NA,NA
"222","perezju01",2007,1,"PIT","NL",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","pujollu01",1984,1,"KCA","AL",4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"224","dejesiv01",1975,1,"LAN","NL",63,87,10,16,2,1,0,2,1,2,11,15,0,0,1,0,0
"225","perezau01",2013,1,"SLN","NL",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"226","bumpna01",2005,1,"FLO","NL",31,5,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0
"227","joosted01",1947,1,"PHA","AL",151,540,76,111,22,3,13,64,6,6,114,110,NA,4,24,NA,5
"228","gagnoch01",1922,1,"DET","AL",10,4,2,1,0,0,0,0,0,0,0,2,NA,0,0,NA,NA
"229","allanan01",1993,1,"SFN","NL",13,24,3,4,1,0,0,2,0,0,1,2,0,0,1,0,1
"230","ceyro01",1975,1,"LAN","NL",158,566,72,160,29,2,25,101,5,2,78,74,15,7,3,8,15
"231","cimolgi01",1962,1,"KC1","AL",152,550,67,151,20,15,10,71,2,1,40,89,2,2,8,6,12
"232","bunniji01",1969,2,"LAN","NL",9,18,0,2,0,0,0,1,0,0,0,6,0,0,3,0,1
"233","bowala01",1976,1,"PHI","NL",156,624,71,155,15,9,0,49,30,8,32,31,3,0,11,5,11
"234","sullico01",2010,1,"HOU","NL",57,64,6,12,1,1,0,4,0,0,6,18,0,0,1,0,2
"235","rogerke01",2002,1,"TEX","AL",34,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0
"236","schemmi01",1946,1,"NY1","NL",1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0
"237","myersmi01",2004,1,"SEA","AL",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","mcdonji01",1884,1,"WSU","UA",2,6,0,1,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"239","fordge01",1905,1,"DET","AL",7,10,0,0,0,0,0,0,0,NA,2,NA,NA,0,1,NA,NA
"240","johnsel02",2013,1,"KCA","AL",79,162,19,29,2,1,2,9,14,0,8,49,1,0,3,0,2
"241","rosarbu01",1947,1,"PHA","AL",102,359,40,93,20,2,1,33,1,3,40,13,NA,1,9,NA,11
"242","schmimi01",1977,1,"PHI","NL",154,544,114,149,27,11,38,101,15,8,104,122,4,9,1,9,10
